text,target
安神助眠茶配方！,是
小红书怎么涨粉,否
蜜月旅行推荐？,否
二战转折点是什么战役？,否
求解答玉屏风散的功效,是
说说定喘汤的组成,是
你好，请问，身份证过期了怎么换。,否
鹦鹉怎么教说话,否
说说防己黄芪汤的功效,是
逍遥丸主要治什么,是
外卖超时怎么投诉。,否
黑洞是怎么形成的！,否
想问下二陈汤的组成是什么,是
豆瓣评分最高的电影。,否
火车票退票手续费,否
肾经的代表药材,是
讲讲甘草,是
大学生要不要考研,否
清胃散主要治什么,是
请问桂圆怎么用,是
厚朴怎么用,是
果汁可以代替水果吗,否
桑叶有副作用吗,是
蒲公英是什么药,是
考驾照科二怎么过？,否
怎么瘦大腿,否
菟丝子泡水喝有什么好处,是
外卖超时怎么投诉！,否
茵陈蒿汤怎么用,是
签证怎么办理？,否
商标怎么注册？,否
请问，养猫好还是养狗好？,否
平胃散怎么用,是
想问下，成人高考有用吗，谢谢,否
耳鸣是什么原因,是
消食导滞用什么中药。,是
止嗽散怎么用,是
日系车和德系车哪个好。,否
结婚证丢了怎么补办？,否
请问，知乎怎么达到高赞？,否
水逆是什么！,否
请问，B站怎么投币。,否
心肾不交是什么意思,是
吃饭太快对身体有什么坏处,否
你好，请问，取快递要带什么？,否
防己黄芪汤怎么用,是
请问夏枯草的作用是什么,是
请问，降噪耳机推荐。,否
山药泡水喝有什么好处,是
单页应用是什么,否
请问，驾照到期怎么换证。,否
什么锅炒菜最健康,否
红花有什么功效,是
近视手术安全吗,否
枸杞的功效与作用,是
提高记忆力吃什么中药,是
请问，脚后跟疼是肾虚吗,是
请问，电动车续航冬天打几折,否
升降浮沉是什么意思,是
你好，请问，汽车打不着火怎么回事！,否
豆瓣评分最高的电影,否
Hi，肝火旺有什么症状,是
金银花和什么搭配效果好,是
咒术回战好看吗！,否
玉屏风散有什么功效,是
请问，文艺复兴是什么时候！,否
想问下，化痰止咳平喘药有哪些,是
你相信星座吗,否
肿瘤标志物升高就是癌吗,否
胃镜和肠镜能一起做吗,否
天冬的药用价值,是
你好，什么是灰度发布,否
连翘的作用是什么,是
能讲讲桂枝汤的用法吗,是
请问五味子怎么用,是
板蓝根是什么药,是
你好，请问，年检新规定是什么。,否
纪录片推荐！,否
请问苏合香丸的功效,是
拼多多和淘宝哪个好？,否
请问，特斯拉和比亚迪怎么选。,否
Hi，胃疼吃什么药，谢谢,是
求解答逍遥丸的功效,是
什么是卫气营血,是
吃饭太快对身体有什么坏处？,否
问一下金银花的功效,是
说说苏合香丸的功效,是
请问，什么是五险一金！,否
你好，请问，喜剧电影推荐？,否
中医怎么理解免疫力,是
炙甘草汤由哪些药组成,是
《本草经集注》是谁写的,是
请问续断的药用价值,是
想问下桂枝汤的用法是什么,是
怎么注销公司,否
六味地黄丸主要治什么,是
混动和纯电怎么选。,否
你好请问，帮我写一个排序算法,否
怎么考摩托车驾照,否
酒店怎么订最便宜？,否
请问，第一次世界大战的导火索？,否
Hi，生酮饮食安全吗,否
你好，痰湿体质的特征有哪些,是
请问，怎么起诉欠钱不还！,否
你好，请问，小规模纳税人税率多少！,否
中药配伍禁忌有哪些,是
你好，请问，退休年龄是多少？,否
你好，请问，纪录片推荐！,否
嘴唇发紫说明什么,是
请问，二手房过户流程。,否
厚朴的作用是什么,是
桂枝茯苓丸主要治什么,是
女贞子和什么搭配效果好,是
带孩子去哪旅游合适。,否
山茱萸泡水喝有什么好处,是
你好，请问，混动和纯电怎么选！,否
讲讲三七,是
《景岳全书》的主要内容,是
清热药分几种,是
想问下说说桑菊饮的适应症,是
你好，请问，元素周期表有多少个元素！,否
体寒怎么调理,是
想问下说说温经汤的主治,是
请问，咒术回战好看吗。,否
中医治疗感冒的思路,是
灵芝的功效与作用,是
你好，请问六味地黄丸由哪些药组成,是
怎么练翘臀不粗腿,否
请问，鹦鹉怎么教说话。,否
什么人不能吃续断,是
请问蒲公英泡水喝有什么好处,是
你好，请问，买房楼层怎么选？,否
为什么天空是蓝色的？,否
想问下白虎汤的组成是什么,是
生化汤怎么用,是
请问，退休年龄是多少！,否
求解答补中益气汤的功效,是
你好，请问，恐怖片推荐？,否
垃圾分类怎么分！,否
血瘀体质有什么表现,是
请问，垃圾分类怎么分,否
酸枣仁和什么搭配效果好,是
普通话考试怎么准备,否
介绍一下麻黄汤,是
介绍一下芡实,是
请问，行车记录仪推荐。,否
你好，月经有血块正常吗,是
什么是靶向治疗,否
请问讲讲鱼腥草,是
法令纹深代表什么,是
女贞子泡水喝有什么好处,是
请问旋覆代赭汤的功效,是
你好，请问，纪录片推荐？,否
速冻水饺什么牌子好吃,否
什么人不能吃蒲公英,是
想问下十全大补汤的成分是什么,是
吃辣的好处和坏处,否
蒲公英泡水喝有什么好处,是
请问决明子适合什么人吃,是
10万左右买什么车好。,否
血府逐瘀汤它的功效是啥,是
请问，什么是五险一金。,否
征信花了怎么修复！,否
手表电池怎么换,否
决明子有副作用吗,是
请问佩兰适合什么人吃,是
你好请问，回阳救逆用什么药,是
说说桂枝茯苓丸的用途,是
请问，今年有什么好看的国产剧。,否
你好，请问，怎么考摩托车驾照！,否
扁桃体反复发炎要不要切,否
请问，离婚财产怎么分割,否
求解答玉女煎的主治,是
你好，请问，奶茶推荐？,否
说说平胃散的功效,是
请问，快递丢了怎么赔偿？,否
10万左右买什么车好？,否
行车记录仪推荐？,否
你好，现在几点了,否
想问下，额头长痘代表什么,是
介绍一下蒲公英,是
问一下山茱萸的功效,是
请问温胆汤有什么主治,是
你好，请问，奶茶推荐,否
求解答白虎汤的组成,是
补中益气汤的功效是什么,是
高血压的标准是多少,否
什么是CAP定理,否
你好，清热解毒和清热凉血的区别,是
薏米的功效与作用,是
银翘散它的主治是啥,是
你好，请问，租房合同要注意什么。,否
退休年龄是多少。,否
你好，房贷提前还款划算吗,否
你好，请问，装修预算怎么分配。,否
请问，居住证怎么办？,否
讲讲夏枯草,是
请问，机械键盘轴体怎么选,否
贷款需要什么条件。,否
中气不足什么感觉,是
酸枣仁汤主要治什么,是
你好，请问，公积金怎么提取？,否
狂犬疫苗怎么打~,否
你好，请问，10万左右买什么车好,否
你好，请问，拼多多和淘宝哪个好。,否
请问，医保报销比例是多少。,否
薄荷和什么搭配效果好,是
细辛泡水喝有什么好处,是
专升本怎么报名,否
港澳通行证怎么办理。,否
想问下当归补血汤的配方是什么,是
求解答血府逐瘀汤的功效,是
请问问一下山楂的功效,是
佩兰的药用价值,是
说说酸枣仁汤的主治,是
你好，请问理中丸主要治什么,是
请问，兔子能当宠物吗,否
半夏泻心汤的组成是什么,是
何首乌适合什么人吃,是
光合作用的原理是什么,否
酸枣仁的药用价值,是
当归适合什么人吃,是
甘草适合什么人吃,是
肉桂有副作用吗,是
怎么在淘宝上开店,否
第一次约会去哪好,否
川芎的功效与作用,是
请问，二手车能不能买,否
运动前热身怎么做,否
分红和送股有什么区别,否
针灸能治什么病,是
想问下，烤箱有必要买吗？,否
毛坯房验房注意事项,否
讲讲薏米,是
悬疑剧推荐！,否
特斯拉和比亚迪怎么选！,否
桃仁的功效与作用,是
大黄有副作用吗,是
请问，iPad有必要买蜂窝版吗？,否
你好，请问，怎么判断是不是诈骗电话！,否
求解答旋覆代赭汤的功效,是
什么是胆固醇。,否
玉女煎的主治是什么,是
十全大补汤有什么成分,是
最低还款会影响征信吗,否
你好，请问，方便面哪个味道好吃？,否
面包怎么发酵！,否
车牌摇号条件,否
你好，请问，今年有什么好看的国产剧,否
你好，请问安宫牛黄丸怎么用,是
什么人不能吃甘草,是
第一次坐飞机要注意什么。,否
十全大补汤怎么用,是
请问，遗嘱怎么写才有效。,否
脾胃湿热怎么调理,是
请问，周末去哪里玩,否
菊花泡水喝有什么好处,是
去西藏会有高原反应吗！,否
止嗽散它的功效是啥,是
你好请问，咳嗽有什么偏方！,是
双十一什么时候开始！,否
决明子的作用是什么,是
请问桑菊饮的适应症,是
白术是什么药,是
石斛怎么用,是
温经散寒的中药,是
问一下玉竹的功效,是
什么人不能吃板蓝根,是
你好，请问，元素周期表有多少个元素,否
怎么写毕业论文,否
你好，请问，驾照到期怎么换证,否
B超能检查什么！,否
请问，京东白条怎么用！,否
胃经的药材有哪些！,是
能讲讲白虎汤的组成吗,是
温胆汤怎么用,是
你好，请问，B站怎么投币,否
融资融券是什么意思,否
想问下麻黄汤它的适应症是啥,是
麻黄适合什么人吃,是
茯苓泡水喝有什么好处,是
请问，电费多少钱一度,否
你好，请问，租房合同要注意什么？,否
专利申请流程,否
云闪付是什么。,否
容积率是什么意思。,否
杜仲的作用是什么,是
公交卡怎么充值？,否
什么是卫气营血？,是
你好，请问，失业金怎么领取,否
葛根和什么搭配效果好,是
请问，什么是相对论,否
Hi，养生先养心是什么意思,是
Switch和PS5买哪个,否
请问，工伤认定需要什么材料？,否
你好，请问，闲鱼上怎么卖东西！,否
讲讲细辛,是
想问下，《本草经集注》是谁写的,是
动画电影推荐？,否
怎么挑选新鲜的鱼,否
消息队列是什么,否
你好请问，卵巢囊肿中医能治吗,是
你好，请问，丝绸之路的起点和终点,否
Hi，你现在在做什么,否
生化汤的功效是什么,是
你好，请问，火影忍者值得看吗。,否
讲讲大黄,是
全麻和局麻有什么区别。,否
黄芩泡水喝有什么好处,是
你好，请问，方便面哪个味道好吃！,否
网上银行安全吗,否
咒术回战好看吗,否
请问，出生证明怎么办理？,否
火影忍者值得看吗。,否
社保断缴有什么影响,否
山药有什么功效,是
请问，怎么起诉欠钱不还,否
说说归脾汤的适应症,是
血府逐瘀汤主要治什么,是
怎么部署网站,否
请问，移动支付和现金哪个方便,否
灵芝适合什么人吃,是
请问，微博热搜怎么上？,否
你好，中秋送什么礼,否
介绍一下何首乌,是
问一下板蓝根的功效,是
什么人不能吃藏红花,是
你好，睡不着有什么办法。,是
请问，丝绸之路的起点和终点！,否
你好，请问，猫需要打什么疫苗。,否
想问下猪苓汤的主治是什么,是
你好，请问，电费多少钱一度。,否
介绍一下二陈汤,是
藿香正气散有什么用途,是
女贞子的作用是什么,是
请问，火影忍者值得看吗！,否
请问，最低还款会影响征信吗！,否
说说桑菊饮的适应症,是
在职研究生含金量,否
医保报销比例是多少。,否
性寒的药材不能长期吃吗,是
Nginx怎么配置,否
你好，请问，工伤认定需要什么材料,否
金银花的功效与作用,是
半夏泻心汤怎么用,是
函数式编程是什么？,否
无痛人流安全吗~,否
你好，请问，怎么注销公司,否
清胃散有什么功效,是
山茱萸怎么用,是
你好，请问，年终奖怎么扣税！,否
你好，请问保和丸由哪些药组成,是
你好，窗帘怎么洗不缩水,否
云南旅游攻略求推荐？,否
温胆汤的主治是什么,是
怕冷是阳虚还是气血不足？,是
请问，商标怎么注册,否
冬虫夏草适合什么人吃,是
驾照到期怎么换证。,否
介绍一下理中丸,是
你好，请问，转账转错了能追回吗？,否
出生证明怎么办理,否
年终奖怎么扣税！,否
不粘锅涂层安全吗！,否
勾股定理的证明方法,否
你好，B超能检查什么？,否
请问，买房楼层怎么选,否
Hi，五味入五脏是什么意思,是
进击的巨人讲了什么,否
山楂适合什么人吃,是
请问能讲讲保和丸的作用吗,是
儿童性早熟怎么判断,否
你好，早上好,否
沙参有什么功效,是
平胃散由哪些药组成,是
拼多多和淘宝哪个好。,否
公积金怎么提取。,否
你好，请问，小规模纳税人税率多少,否
请问，自驾游路线推荐,否
陈皮和什么搭配效果好,是
什么人不能吃麦冬,是
你好，断食对身体有什么影响？,否
明朝灭亡的原因是什么,否
Go语言适合做什么,否
求解答生化汤的功效,是
请问，微博热搜怎么上。,否
肉苁蓉是什么药,是
你好，请问，著作权怎么保护。,否
山药有副作用吗,是
鹿茸有副作用吗,是
什么电视剧最近比较火。,否
体检报告怎么看。,否
什么是胆固醇,否
请问，酒店怎么订最便宜。,否
说说六味地黄丸的功效,是
数据库索引的原理,否
你好，请问，如何注册商标！,否
茯苓有什么功效,是
风热感冒怎么判断,是
请问，火车票退票手续费。,否
Hi，有什么好听的民谣推荐,否
云闪付是什么,否
遗嘱怎么写才有效。,否
丁香柿蒂汤主要治什么,是
《太平惠民和剂局方》是什么,是
想问下六味地黄丸的功效是什么,是
你好，请问当归补血汤有什么配方,是
为什么天空是蓝色的。,否
Hi，痛风除了西药中药怎么调理,是
剩菜怎么保存最安全,否
黄芪怎么用,是
你好，请问，龙猫好养吗？,否
机油多久换一次！,否
请问，显示器和电视当显示器哪个好！,否
你好，请问，取快递要带什么。,否
请问温胆汤的主治,是
你好，请问，公交卡怎么充值？,否
板蓝根泡水喝有什么好处,是
你好，请问，一拳超人第三季什么时候出！,否
介绍一下五味子,是
讲讲黄精,是
介绍一下防己黄芪汤,是
灵芝怎么用,是
慢性肾炎中医治疗效果好吗？,是
猪苓汤由哪些药组成,是
你好，请问，机械键盘轴体怎么选,否
你好，请问，机械键盘轴体怎么选。,否
川贝母的作用是什么,是
狗狗拉稀吃什么药,否
请问，鬼灭之刃讲了什么,否
失业金怎么领取！,否
你会下围棋吗,否
改革开放是哪一年开始的,否
做手术前后能吃中药吗,是
讲讲柴胡,是
介绍一下附子,是
你好，请问，海贼王完结了吗,否
保和丸怎么用,是
细辛适合什么人吃,是
请问连翘有副作用吗,是
请问，装修预算怎么分配？,否
耳鸣是什么原因。,是
附子的药用价值,是
想问下止嗽散的功效是什么,是
柴胡的功效与作用,是
百合的功效与作用,是
意外险有必要买吗,否
介绍一下百合,是
想问下，俯卧撑每天做多少有效~,否
防诈骗口诀是什么？,否
麦冬的作用是什么,是
想问下，理气药有什么作用,是
你好，请问，纪录片推荐,否
化痰止咳平喘药有哪些,是
请问，移动支付和现金哪个方便！,否
短信验证码泄露了怎么办,否
你好，请问，三国时期有哪些著名战役？,否
请问，最低还款会影响征信吗。,否
请问，自驾游路线推荐。,否
你好，请问，航班延误怎么索赔！,否
物业费包含什么！,否
请问，什么是相对论？,否
抖音怎么涨粉,否
你好，滑板怎么学,否
想问下，剩菜怎么保存最安全！,否
数字人民币怎么用,否
请问薏米怎么用,是
数据库分库分表怎么做？,否
最近有什么好看的电影吗？,否
你好，请问，猫咪掉毛怎么办？,否
B站怎么投币！,否
红枣的药用价值,是
短信验证码泄露了怎么办。,否
马桶堵了怎么办,否
公积金贷款能贷多少,否
肿瘤筛查有必要吗。,否
你好，感冒吃什么中药,是
请问沙参有副作用吗,是
你好，请问，二手房过户流程？,否
肉桂的作用是什么,是
玉女煎由哪些药组成,是
你好请问，气滞血瘀是什么表现,是
请问血府逐瘀汤的功效,是
你好，请问，机械键盘轴体怎么选！,否
山茱萸的作用是什么,是
你好，请问，怎么在淘宝上开店？,否
上火了怎么办,是
骨髓移植能治什么病,否
银翘散的主治是什么,是
体检前为什么要空腹,否
怎么谈薪资,否
公积金贷款能贷多少？,否
你好，请问，居住证怎么办,否
熟地黄是什么药,是
全麦面包真的更健康吗,否
你好，请问，WiFi6和WiFi5区别大吗,否
什么人不能吃夏枯草,是
讲讲白芍,是
夏枯草适合什么人吃,是
请问，清朝闭关锁国的影响？,否
请问，闲鱼上怎么卖东西！,否
藿香正气散怎么用,是
公司注册流程是什么。,否
你好，请问，元素周期表有多少个元素。,否
贷款需要什么条件！,否
介绍一下川贝母,是
讲讲女贞子,是
请问，工伤认定需要什么材料,否
请问金银花有什么功效,是
想问下，湿气重怎么自我判断,是
介绍一下天麻,是
你好，请问，ETC怎么办理。,否
买房楼层怎么选！,否
机械键盘轴体怎么选,否
平胃散的功效是什么,是
黄芩的作用是什么,是
请问，居住证怎么办。,否
讲讲山药,是
你好，请问，微博热搜怎么上。,否
桂枝茯苓丸怎么用,是
鹿茸怎么用,是
国家开放大学靠谱吗,否
你好请问，讲个故事给我听,否
你能做什么~,否
什么是透析,否
定喘汤有什么组成,是
苓桂术甘汤它的功效是啥,是
泻下药分几类,是
Hi，手指月牙少说明什么,是
凉血止血吃什么药,是
越野跑和路跑的区别,否
你好，请问，唐朝为什么被称为盛世！,否
租房合同要注意什么,否
请问，知乎怎么达到高赞！,否
兔子能当宠物吗。,否
桂枝茯苓丸它的用途是啥,是
请问讲讲甘草,是
请问，鹦鹉怎么教说话,否
